              StateA              StateB          FreeEnergy(kcal/mol)     Error(kcal/mol)
       gas-e100-v100       gas-e090-v100                   1.0688              0.0012
       gas-e090-v100       gas-e080-v100                   0.9557              0.0010
       gas-e080-v100       gas-e070-v100                   0.8432              0.0009
       gas-e070-v100       gas-e060-v100                   0.7302              0.0008
       gas-e060-v100       gas-e040-v100                   1.1220              0.0012
       gas-e040-v100       gas-e020-v100                   0.6727              0.0007
       gas-e020-v100       gas-e000-v100                   0.2244              0.0002
       gas-e000-v100       gas-e000-v090                  -3.1709              0.0222
       gas-e000-v090       gas-e000-v080                  -2.3144              0.0161
       gas-e000-v080       gas-e000-v075                  -0.7163              0.0053
       gas-e000-v075       gas-e000-v070                  -0.4662              0.0035
       gas-e000-v070       gas-e000-v067                  -0.1858              0.0014
       gas-e000-v067       gas-e000-v064                  -0.1326              0.0010
       gas-e000-v064       gas-e000-v060                  -0.1149              0.0008
       gas-e000-v060       gas-e000-v056                  -0.0657              0.0005
       gas-e000-v056       gas-e000-v045                  -0.0550              0.0005
       gas-e000-v045       gas-e000-v000                   0.0062              0.0001
    liquid-e000-v000    liquid-e000-v045                   0.0959              0.0037
    liquid-e000-v045    liquid-e000-v056                   2.2763              0.0296
    liquid-e000-v056    liquid-e000-v060                   2.1464              0.0404
    liquid-e000-v060    liquid-e000-v064                   2.1446              0.0756
    liquid-e000-v064    liquid-e000-v067                   1.0028              0.0411
    liquid-e000-v067    liquid-e000-v070                   0.7427              0.0326
    liquid-e000-v070    liquid-e000-v075                   0.8798              0.0470
    liquid-e000-v075    liquid-e000-v080                   0.5788              0.0362
    liquid-e000-v080    liquid-e000-v090                   0.4586              0.0559
    liquid-e000-v090    liquid-e000-v100                  -0.9781              0.0453
    liquid-e000-v100    liquid-e020-v100                  -0.4774              0.0222
    liquid-e020-v100    liquid-e040-v100                  -1.2218              0.0253
    liquid-e040-v100    liquid-e060-v100                  -2.0936              0.0327
    liquid-e060-v100    liquid-e070-v100                  -1.4847              0.0217
    liquid-e070-v100    liquid-e080-v100                  -1.8691              0.0259
    liquid-e080-v100    liquid-e090-v100                  -2.4945              0.0364
    liquid-e090-v100    liquid-e100-v100                  -3.4208              0.0433
        SUMMARY OF THE TOTAL FREE ENERGY                  -5.3127              0.1644
